Name,Surname,Email,Hours
panda, , panda.panda@jujutsu-mail.com,1m
Satoru, GOJO, satoru.gojo@jujutsu-high.ac.jp,1h 8m
Shoko, Ieiri , shoko.ieiri@jujutsu-mail.com,1h 20m
YUJI, ITADORI, yuji.itadori@jujutsu-mail.com,12m
YUJI, ITADORI, yuji.itadori@jujutsu-mail.com,1h 1m
Megumi, Fushiguro  , megumi.fushiguro@jujutsu-mail.com,1h 5m
Nobara, Kugisaki, nobara.kugisaki@jujutsu-mail.com,35m
MAKI, ZENIN, maki.zenin@jujutsu-mail.com,1h 21m
panda, , panda.panda@jujutsu-mail.com,1h 23m
Masamichi,  YAGA , masamichi.yaga@jujutsu-mail.com  ,1h 
Mechamaru, , kokichi.muta@jujutsu-mail.com,1h 1m
yuta,   okkotsu, yuta.okkotsu@jujutsu-mail.com,1h 2m
Mai, ZeNin  ,mai.zenin@jujutsu-mail.com,1h 4m
Kinji, Hakari, kinji.hakari@jujutsu-mail.com,19m
 Kirara,HOSHI, kirara.hoshi@jujutsu-mail.com  ,1h 1m
Aoi,   Todo,aoi.todo@jujutsu-mail.com,1h 
Kento,NANAMI,kento.nanami@jujutsu-mail.com,1h 5m
Mei Mei,, mei.mei@jujutsu-mail.com,1h 22m
Yuki, Tsukumo, yuki.tsukumo@jujutsu-mail.com  ,56m
Ryomen, SUKUNA  ,sukuna.theking@jujutsu-mail.com,40m
Toji,  FUSHIGURO,toji.fushiguro@jujutsu-mail.com,1h 1m
Hajime, Kashimo, hajime.kashimo@jujutsu-mail.com  ,1h 23m
HANA, KUSUSU,  hana.kususu@jujutsu-mail.com ,1h 10m
Hiromi, Higuruma  ,hiromi.higuruma@jujutsu-mail.com,1h 21m
Fumihiko,  TAKABA,fumihiko.takaba@jujutsu-mail.com,1h 10m
Rin,Amai,rin.amai@jujutsu-mail.com,1h 9m
Reggie  ,STAR  , reggie.star@jujutsu-mail.com,1h 15m
 Miguel,  ,  miguel.black@jujutsu-mail.com  ,59m
  Remi,,remi.red@jujutsu-mail.com ,20m
Takako  ,Uro  ,takako.uro@jujutsu-mail.com  ,29m
Ui Ui,  ,ui.ui@jujutsu-mail.com,1h 6m
Mei Mei,, mei.mei@jujutsu-mail.com,1h 11m
   MAHITO,   ,  mahito.irule@jujutsu-mail.com ,1h 6m
 Jogo,  ,jogo.thedude@jujutsu-mail.com,1h 22m
Hanami, , hanami.yes@jujutsu-mail.com ,53m
DAGON,    ,dagon.dragon@jujutsu-mail.com,1h 22m
Choso,,choso.eso@jujutsu-mail.com,46m
Suguru,Geto,suguru.geto@jujutsu-mail.com,1h 22m
 Mimiko  ,  HASABA    ,  mimiko.hasaba@jujutsu-mail.com,41m
Toji,  FUSHIGURO,toji.fushiguro@jujutsu-mail.com,20m
Kenjaku ,  ,   kenjaku.kkk@jujutsu-mail.com  ,59m
Ryomen, SUKUNA  ,sukuna.theking@jujutsu-mail.com,38m
uraume,   ,uraume.icyice@jujutsu-mail.com  ,1h 20m
